date,location,temperature_c,thermal_stress,vulnerability_index,historical_health_events,lag_health_events,health_impact_proxy
2026-05-01,Ward_A,34.2,48,30,8,7,14.2
2026-05-02,Ward_A,35.1,52,30,9,8,15.8
2026-05-03,Ward_A,36.0,57,30,10,9,17.7
2026-05-04,Ward_A,37.2,61,30,11,10,19.2
2026-05-05,Ward_A,38.0,65,30,12,11,21.0
2026-05-06,Ward_A,39.1,70,30,13,12,23.2
2026-05-07,Ward_A,40.0,75,30,15,13,26.0
2026-05-08,Ward_A,41.0,80,30,17,15,28.8
2026-05-09,Ward_A,42.0,85,30,20,17,32.0
2026-05-10,Ward_A,43.0,90,30,23,20,35.5
2026-05-11,Ward_A,39.0,68,30,14,15,23.7
2026-05-12,Ward_A,37.5,60,30,11,14,19.4
2026-05-13,Ward_A,35.8,54,30,9,11,16.8
2026-05-14,Ward_A,40.2,77,30,16,13,27.3
2026-05-15,Ward_A,41.5,83,30,19,16,31.0
2026-05-16,Ward_A,42.5,88,30,22,19,34.4
2026-05-17,Ward_A,43.2,92,30,25,22,37.5
2026-05-18,Ward_A,38.5,66,30,13,18,22.0
2026-05-19,Ward_A,36.4,55,30,10,12,17.8
2026-05-20,Ward_A,39.5,73,30,15,11,25.2
2026-05-21,Ward_B,35.0,50,60,10,9,20.5
2026-05-22,Ward_B,36.2,56,60,11,10,22.7
2026-05-23,Ward_B,37.0,62,60,13,11,25.0
2026-05-24,Ward_B,38.4,68,60,15,13,27.5
2026-05-25,Ward_B,39.5,74,60,17,15,30.0
2026-05-26,Ward_B,40.5,79,60,19,17,33.0
2026-05-27,Ward_B,41.5,84,60,21,19,36.0
2026-05-28,Ward_B,42.2,88,60,24,21,39.0
2026-05-29,Ward_B,43.0,92,60,27,24,42.0
2026-05-30,Ward_B,39.0,69,60,15,20,29.0
2026-06-01,Ward_B,36.5,57,60,12,15,23.5
2026-06-02,Ward_B,40.0,76,60,18,13,31.5
2026-06-03,Ward_B,41.0,81,60,20,18,34.5
2026-06-04,Ward_B,42.0,86,60,23,20,38.0
2026-06-05,Ward_B,43.5,94,60,28,23,43.5
2026-06-06,Ward_C,34.5,46,80,9,8,20.0
2026-06-07,Ward_C,36.0,53,80,11,9,23.0
2026-06-08,Ward_C,37.5,59,80,13,11,25.5
2026-06-09,Ward_C,39.0,67,80,16,13,29.5
2026-06-10,Ward_C,40.0,73,80,18,16,32.5
2026-06-11,Ward_C,41.0,79,80,21,18,36.0
2026-06-12,Ward_C,42.0,85,80,24,21,40.0
2026-06-13,Ward_C,43.0,91,80,28,24,44.5
2026-06-14,Ward_C,41.5,82,80,22,26,38.5
2026-06-15,Ward_C,39.5,70,80,17,21,32.0
2026-06-16,Ward_C,38.0,63,80,14,17,27.0
2026-06-17,Ward_C,40.5,76,80,20,16,34.5
2026-06-18,Ward_C,42.5,89,80,26,22,43.0
2026-06-19,Ward_C,43.5,94,80,30,26,47.0
2026-06-20,Ward_C,37.0,58,80,12,18,25.0
