date,location,temperature_c,thermal_stress,vulnerability_index,historical_health_events,lag_health_events,health_impact_proxy
2026-01-02,Ward_A,19.7,23.0,26.6,11,12,9.8
2026-01-02,Ward_A,27.7,40.7,25.0,10,11,11.48
2026-01-02,Ward_A,37.0,57.6,30.3,13,14,15.46
2026-01-02,Ward_A,39.6,76.9,22.3,13,12,16.19
2026-01-03,Ward_A,20.6,8.1,24.7,9,8,8.12
2026-01-03,Ward_A,31.6,38.0,24.9,11,12,11.75
2026-01-03,Ward_A,34.0,51.8,23.5,11,12,13.07
2026-01-03,Ward_A,43.7,89.0,24.7,16,15,19.42
2026-01-04,Ward_A,25.7,23.6,23.5,9,8,9.71
2026-01-04,Ward_A,26.3,37.8,23.6,9,10,10.46
2026-01-04,Ward_A,33.2,69.7,24.4,15,15,16.1
2026-01-04,Ward_A,42.5,83.0,23.5,13,12,17.63
2026-01-05,Ward_A,16.1,0.0,28.8,5,6,7.43
2026-01-05,Ward_A,27.2,40.9,26.6,11,10,11.81
2026-01-05,Ward_A,35.1,61.1,26.5,12,12,14.6
2026-01-05,Ward_A,40.9,84.3,29.3,12,11,17.75
2026-01-06,Ward_A,20.6,19.4,25.2,7,6,8.08
2026-01-06,Ward_A,27.5,37.3,27.2,9,9,10.94
2026-01-06,Ward_A,36.8,51.6,28.6,10,10,14.35
2026-01-06,Ward_A,43.4,96.5,26.6,14,13,19.88
2026-01-07,Ward_A,17.7,0.0,23.7,7,6,7.6
2026-01-07,Ward_A,32.9,39.9,25.2,11,12,12.17
2026-01-07,Ward_A,37.1,66.1,25.2,13,13,15.76
2026-01-07,Ward_A,44.8,87.3,23.5,16,17,19.81
2026-01-08,Ward_A,18.3,4.4,27.4,10,11,8.97
2026-01-08,Ward_A,30.9,47.0,22.9,11,10,12.33
2026-01-08,Ward_A,36.4,53.5,26.2,12,13,14.39
2026-01-08,Ward_A,42.5,84.4,25.7,14,14,18.46
2026-01-09,Ward_A,17.8,17.0,22.1,7,7,7.7
2026-01-09,Ward_A,30.5,27.7,25.7,9,8,10.1
2026-01-09,Ward_A,34.2,55.8,27.7,11,10,13.33
2026-01-09,Ward_A,44.2,88.2,25.8,15,16,19.51
2026-01-10,Ward_A,16.3,18.2,19.6,8,8,7.77
2026-01-10,Ward_A,29.4,36.2,22.3,10,11,10.88
2026-01-10,Ward_A,33.6,65.6,24.5,12,12,14.24
2026-01-10,Ward_A,42.4,77.7,26.6,14,14,18.05
2026-01-11,Ward_A,21.7,13.4,28.0,9,9,9.41
2026-01-11,Ward_A,31.0,33.6,26.6,14,14,12.57
2026-01-11,Ward_A,34.6,61.5,28.2,11,12,14.79
2026-01-11,Ward_A,45.6,94.1,25.0,15,15,20.27
2026-01-12,Ward_A,25.7,18.0,22.6,8,7,8.47
2026-01-12,Ward_A,32.8,36.8,23.0,11,11,12.0
2026-01-12,Ward_A,38.3,69.7,23.4,14,14,16.62
2026-01-12,Ward_A,45.4,89.3,28.9,16,15,20.48
2026-01-13,Ward_A,16.1,17.4,26.5,10,9,9.4
2026-01-13,Ward_A,28.5,40.5,27.1,11,10,12.4
2026-01-13,Ward_A,36.5,68.6,20.3,13,14,15.1
2026-01-13,Ward_A,43.4,86.4,28.5,14,14,18.92
2026-01-14,Ward_A,22.1,23.8,26.7,10,9,9.23
2026-01-14,Ward_A,31.4,27.2,24.9,10,10,10.91
2026-01-14,Ward_A,38.6,73.0,28.9,13,12,16.48
2026-01-14,Ward_A,40.0,73.7,26.7,15,15,17.11
2026-01-15,Ward_A,16.6,5.2,27.7,9,9,8.4
2026-01-15,Ward_A,32.4,36.0,26.2,10,11,11.49
2026-01-15,Ward_A,36.2,62.5,21.6,11,12,13.9
2026-01-15,Ward_A,43.2,77.3,25.9,16,15,18.43
2026-01-16,Ward_A,24.9,14.1,25.9,8,7,8.45
2026-01-16,Ward_A,27.9,36.2,23.5,9,9,10.0
2026-01-16,Ward_A,35.3,49.9,25.8,11,12,13.21
2026-01-16,Ward_A,43.7,95.4,28.3,15,14,20.55
2026-01-17,Ward_A,18.6,0.0,27.0,7,6,7.71
2026-01-17,Ward_A,30.9,40.1,25.6,10,10,11.27
2026-01-17,Ward_A,33.6,63.6,25.0,11,10,13.97
2026-01-17,Ward_A,46.4,88.5,27.8,13,14,19.61
2026-01-18,Ward_A,18.0,20.6,31.6,8,8,9.18
2026-01-18,Ward_A,28.1,32.2,23.1,11,11,11.35
2026-01-18,Ward_A,37.7,70.8,25.0,12,13,15.84
2026-01-18,Ward_A,40.4,81.5,22.7,14,13,17.62
2026-01-19,Ward_A,21.4,5.3,22.4,8,9,8.19
2026-01-19,Ward_A,31.7,46.6,26.3,16,15,14.17
2026-01-19,Ward_A,37.2,75.0,29.2,15,14,17.51
2026-01-19,Ward_A,46.3,91.0,26.5,14,14,19.66
2026-01-20,Ward_A,17.6,21.2,26.3,11,11,9.43
2026-01-20,Ward_A,32.2,27.3,24.7,8,9,10.84
2026-01-20,Ward_A,33.6,50.7,23.9,12,12,12.9
2026-01-20,Ward_A,39.7,75.9,23.6,12,12,16.2
2026-01-21,Ward_A,20.2,21.6,24.4,8,7,8.35
2026-01-21,Ward_A,26.3,34.7,20.5,11,11,10.49
2026-01-21,Ward_A,36.5,71.9,25.2,13,14,16.17
2026-01-21,Ward_A,40.0,80.9,23.4,14,15,17.42
2026-01-22,Ward_A,19.2,1.7,24.0,6,5,6.37
2026-01-22,Ward_A,26.3,30.6,26.5,8,7,9.77
2026-01-22,Ward_A,38.9,70.6,23.2,13,12,16.23
2026-01-22,Ward_A,45.6,97.9,25.5,15,14,20.52
2026-01-23,Ward_A,18.2,1.3,25.9,8,8,8.0
2026-01-23,Ward_A,27.9,48.2,28.0,11,11,12.9
2026-01-23,Ward_A,34.5,57.4,22.8,10,10,12.97
2026-01-23,Ward_A,39.6,86.9,25.1,15,15,18.74
2026-01-24,Ward_A,18.2,12.3,23.3,8,8,7.61
2026-01-24,Ward_A,31.1,50.3,26.6,9,8,11.99
2026-01-24,Ward_A,35.8,51.3,28.2,13,12,14.19
2026-01-24,Ward_A,43.0,91.7,23.0,15,16,19.26
2026-01-25,Ward_A,18.8,0.0,24.9,8,8,8.57
2026-01-25,Ward_A,28.8,35.4,22.9,11,11,10.97
2026-01-25,Ward_A,35.9,52.0,21.5,9,9,12.66
2026-01-25,Ward_A,42.8,87.3,24.7,13,14,18.23
2026-01-26,Ward_A,16.3,5.8,28.6,9,8,8.67
2026-01-26,Ward_A,27.2,27.5,29.2,10,9,10.17
2026-01-26,Ward_A,33.1,72.5,25.6,13,12,15.62
2026-01-26,Ward_A,44.5,80.3,24.4,15,15,18.7
2026-04-01,Ward_B,24.3,26.1,44.5,16,15,13.55
2026-04-01,Ward_B,28.3,26.2,42.9,17,18,14.38
2026-04-01,Ward_B,36.4,62.2,48.5,19,19,19.96
2026-04-01,Ward_B,42.6,76.2,50.1,19,18,21.99
2026-04-02,Ward_B,18.1,7.7,45.5,15,14,12.3
2026-04-02,Ward_B,26.2,26.9,49.4,17,16,15.07
