date,location,temperature_c,thermal_stress,vulnerability_index,historical_health_events,lag_health_events,health_impact_proxy,temperature_trend,thermal_stress_trend,future_thermal_stress,future_risk_level
2026-01-02,Ward_A,27.7,40.7,25.0,10,11,11.48,8.0,17.700000000000003,8.1,LOW
2026-01-02,Ward_A,37.0,57.6,30.3,13,14,15.46,9.3,16.9,38.0,LOW
2026-01-02,Ward_A,39.6,76.9,22.3,13,12,16.19,2.6000000000000014,19.300000000000004,51.8,MODERATE
2026-01-03,Ward_A,20.6,8.1,24.7,9,8,8.12,-19.0,-68.80000000000001,89.0,EXTREME
2026-01-03,Ward_A,31.6,38.0,24.9,11,12,11.75,11.0,29.9,23.6,LOW
2026-01-03,Ward_A,34.0,51.8,23.5,11,12,13.07,2.3999999999999986,13.799999999999997,37.8,LOW
2026-01-03,Ward_A,43.7,89.0,24.7,16,15,19.42,9.700000000000003,37.2,69.7,HIGH
2026-01-04,Ward_A,25.7,23.6,23.5,9,8,9.71,-18.000000000000004,-65.4,83.0,EXTREME
2026-01-04,Ward_A,26.3,37.8,23.6,9,10,10.46,0.6000000000000014,14.199999999999996,0.0,LOW
2026-01-04,Ward_A,33.2,69.7,24.4,15,15,16.1,6.900000000000002,31.900000000000006,40.9,MODERATE
2026-01-04,Ward_A,42.5,83.0,23.5,13,12,17.63,9.299999999999997,13.299999999999997,61.1,HIGH
2026-01-05,Ward_A,16.1,0.0,28.8,5,6,7.43,-26.4,-83.0,84.3,EXTREME
2026-01-05,Ward_A,27.2,40.9,26.6,11,10,11.81,11.099999999999998,40.9,19.4,LOW
2026-01-05,Ward_A,35.1,61.1,26.5,12,12,14.6,7.900000000000002,20.200000000000003,37.3,LOW
2026-01-05,Ward_A,40.9,84.3,29.3,12,11,17.75,5.799999999999997,23.199999999999996,51.6,MODERATE
2026-01-06,Ward_A,20.6,19.4,25.2,7,6,8.08,-20.299999999999997,-64.9,96.5,EXTREME
2026-01-06,Ward_A,27.5,37.3,27.2,9,9,10.94,6.899999999999999,17.9,0.0,LOW
2026-01-06,Ward_A,36.8,51.6,28.6,10,10,14.35,9.299999999999997,14.300000000000004,39.9,LOW
2026-01-06,Ward_A,43.4,96.5,26.6,14,13,19.88,6.600000000000001,44.9,66.1,HIGH
2026-01-07,Ward_A,17.7,0.0,23.7,7,6,7.6,-25.7,-96.5,87.3,EXTREME
2026-01-07,Ward_A,32.9,39.9,25.2,11,12,12.17,15.2,39.9,4.4,LOW
2026-01-07,Ward_A,37.1,66.1,25.2,13,13,15.76,4.200000000000003,26.199999999999996,47.0,MODERATE
2026-01-07,Ward_A,44.8,87.3,23.5,16,17,19.81,7.699999999999996,21.200000000000003,53.5,MODERATE
2026-01-08,Ward_A,18.3,4.4,27.4,10,11,8.97,-26.499999999999996,-82.89999999999999,84.4,EXTREME
2026-01-08,Ward_A,30.9,47.0,22.9,11,10,12.33,12.599999999999998,42.6,17.0,LOW
2026-01-08,Ward_A,36.4,53.5,26.2,12,13,14.39,5.5,6.5,27.7,LOW
2026-01-08,Ward_A,42.5,84.4,25.7,14,14,18.46,6.100000000000001,30.900000000000006,55.8,MODERATE
2026-01-09,Ward_A,17.8,17.0,22.1,7,7,7.7,-24.7,-67.4,88.2,EXTREME
2026-01-09,Ward_A,30.5,27.7,25.7,9,8,10.1,12.7,10.7,18.2,LOW
2026-01-09,Ward_A,34.2,55.8,27.7,11,10,13.33,3.700000000000003,28.099999999999998,36.2,LOW
2026-01-09,Ward_A,44.2,88.2,25.8,15,16,19.51,10.0,32.400000000000006,65.6,HIGH
2026-01-10,Ward_A,16.3,18.2,19.6,8,8,7.77,-27.900000000000002,-70.0,77.7,HIGH
2026-01-10,Ward_A,29.4,36.2,22.3,10,11,10.88,13.099999999999998,18.000000000000004,13.4,LOW
2026-01-10,Ward_A,33.6,65.6,24.5,12,12,14.24,4.200000000000003,29.39999999999999,33.6,LOW
2026-01-10,Ward_A,42.4,77.7,26.6,14,14,18.05,8.799999999999997,12.100000000000009,61.5,HIGH
